"category__001","category__002","category__003","category__004","name","img_url","brand","short_desc","priority_price","priority_store","num_of_product","num_of_store","lowest_price","highest_price","category__005","category__006"
"Sách","Sách Kiến Thức Tổng Hợp","Sách Chiêm Tinh - Horoscope","Sách Chiêm Tinh - Horoscope  - C.A.N’s","12 Chòm Sao Và Mảnh Ghép Bí Mật","https://img.sosanhgia.com/images/500x0/47e1bc1b543544ff855154e5c501691a/12-chom-sao-va-manh-ghep-bi-mat.jpeg","C.A.N’s","Cuộc sống giống như một khối rubic đa sắc. Mỗi con người là một màu sắc riêng, mỗi mối quan hệ lại như một mảnh ghép tình cờ. Cố chấp theo đuổi hay buông tay, đều được quyết định bởi chính mình...","74.400","Tiki","4","4","74.400","79.000","",""
"Sách","Sách Kiến Thức Tổng Hợp","Sách Chiêm Tinh - Horoscope","Sách Chiêm Tinh - Horoscope  - Carey Jones","Cuốn Sổ Vận Mệnh","https://img.sosanhgia.com/images/500x0/8c97b70af40e41bc9b5bec0f6c7442c9/cuon-so-van-menh.jpeg","Carey Jones","Đã bao giờ bạn làm điều gì đó để rồi hối hận? Đã bao giờ bạn tự trách bản thân hàng trăm lần và lặp đi lặp lại mãi hai chữ “nếu như”? Đã bao giờ bạn tiếc nuối vì quá khứ không trở lại để cho bạn sửa sai?...","49.000","Shopee","3","3","49.000","70.500","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nguyễn Ngọc Điệp","Trình Tự, Thủ Tục Giải Quyết Khiếu Nại Và Quy Trình Tiếp Công Dân Với Các Văn Bản Mới Nhất Hướng Dẫn Thi Hành Luật Khiếu Nại","https://img.sosanhgia.com/images/500x0/5934ced580db4f8cbe17f60b978ab580/trnh-t-th-tc-gii-quyt-khiu-ni-v-quy-trnh-tip-cng-dn-vi-cc-vn-bn-mi-nht-hng-dn-thi-hnh-lut-khiu-ni.jpeg","Nguyễn Ngọc Điệp","Những năm gần đây, tình hình khiếu nại ở nước ta có xu hướng gia tăng cả về số lượng vụ việc và tính chất phức tạp của khiếu nại. Hàng năm các cơ quan thẩm quyền từ trung ương đến địa phương đã tiếp nhận và xử lý hàng trăm nghìn đơn thư khiếu nại mà chủ yếu về các lĩnh vực đất đai, thuế và xử lý vi phạm hành chính...","250.000","Shopee","8","3","250.000","316.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Quý Lâm","Hướng Dẫn, Tham Khảo Soạn Thảo Văn Bản Các Mẫu Diễn Văn, Các Bài Phát Biểu, Các Mẫu Thư Dành Cho Lãnh Đạo Và Cán Bộ Công Chức, Viên Chức Ngành Công An","https://img.sosanhgia.com/images/500x0/4fcc882ba8f14aa3a3d303674045e49b/huong-dan-tham-khao-soan-thao-van-ban-cac-mau-dien-van-cac-bai-phat-bieu-cac-mau-thu-danh-cho-lanh-dao-va-can-bo-cong-chuc-vien-chuc-nganh-cong-an.jpeg","Quý Lâm","Lãnh đạo và cán bộ công chức viên chức ngành công an trong quá trình ra quyết định, tổ chức, điều hành và kiểm soát công việc, không thể thiếu được công cụ hữu hiệu là hệ thống văn bản. Trong thực tế, nhận thức đúng, hiểu thấu và viết chuẩn một loại văn bản nào đó cần nhiều thời gian và công sức...","350.000","Lazada","null","null","null","null","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nguyễn Ngọc Điệp","Bình Luận Khoa Học Phần Các Tội Phạm - Bộ Luật Hình Sự Năm 2015, Được Sửa Đổi, Bổ Sung Năm 2017","https://img.sosanhgia.com/images/500x0/ba1e95ecebf5408c9dc6cd638134259c/binh-luan-khoa-hoc-phan-cac-toi-phambo-luat-hinh-su-nam-2015-duoc-sua-doi-bo-sung-nam-2017.jpeg","Nguyễn Ngọc Điệp","Nhằm đáp ứng nhu cầu tìm hiểu, nghiên cứu Bộ luật Hình sự của bạn đọc nói chung, của cán bộ làm công tác pháp luật, cán bộ nghiên cứu, giảng dạy pháp luật và các sinh viên theo học ngành luật nói riêng, Nhà xuất bản Thế giới cho xuất bản cuốn sách ","279.900","Tiki","4","2","279.900","300.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Đinh Văn Quế","Bình Luận Bộ Luật Hình Sự năm 2015 - Phần Thứ Nhất (Những Quy Định Chung)","https://img.sosanhgia.com/images/500x0/07a4c4951f044d209ced74d2c4c8f1d0/binh-luan-bo-luat-hinh-su-nam-2015-nhung-quy-dinh-chung.jpeg","Đinh Văn Quế","Trên cơ sở cuốn “Bình Luận Phần Chung Bộ Luật Hình Sự Năm 1999”, căn cứ vào các quy định của Bộ luật hình sự năm 2015, so sánh với Bộ luật hình sự năm 1999...","135.000","Lazada","2","1","150.000","0","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Biểu Thuế Suất Ưu Đãi Đặc Biệt Đối Với Hàng Hóa Xuất - Nhập Khẩu 2019","https://img.sosanhgia.com/images/500x0/d482661825d148d696da0c03198c4813/bieu-thue-suat-uu-dai-dac-biet-doi-voi-hang-hoa-xuatnhap-khau-2019.jpeg","Nhiều Tác Giả","Nhà sách Pháp Luật trên TiKi xin giới thiệu cuốn sáchBiểu Thuế Suất Ưu Đãi, Ưu Đãi Đặc Biệt Đối Với Hàng Hóa Xuất Nhập Khẩu Năm 2019. Nhằm cung cấp thông tin mới nhất về Biểu thuế xuất khẩu ưu đãi, Biểu thuế nhập khẩu ưu đãi đặc biệt của Việt Nam để thực hiện Hiệp định Đối tác toàn diện và Tiến bộ...","500.000","Lazada","4","2","500.000","990.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Đinh Văn Quế","Combo Bình luận Bộ Luật Hình Sự năm 2015 (Phần Thứ Nhất - Phần Thứ Hai)","https://img.sosanhgia.com/images/500x0/463c65e3b4cb4183873d29d9c856fbe6/combo-bnh-lun-b-lut-hnh-s-nm-2015-phn-th-nht-phn-th-hai.jpeg","Đinh Văn Quế","Trên cơ sở căn cứ vào các quy định của Bộ luật hình sự năm 2015, so sánh với Bộ luật hình sự năm 1999, đối chiếu với thực tiễn đấu tranh phòng, chống tội phạm, tác giả đã giải thích một cách khoa học về các chế định...","380.000","Tiki","5","2","380.000","400.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Luật Doanh Nghiệp - Tổng Hợp Các Loại Thuế Chính Phải Nộp Trong Hoạt Động Kinh Doanh Của Doanh Nghiệp","https://img.sosanhgia.com/images/500x0/38c412e3699f4f07b3e3003a51cc45ab/luat-doanh-nghieptong-hop-cac-loai-thue-chinh-phai-nop-trong-hoat-dong-kinh-doanh-cua-doanh-nghiep.jpeg","Nhiều Tác Giả","Hệ thống pháp luật trong doanh nghiệp ngày càng hoàn thiện và là cơ sở pháp lý bền vững để các doanh nghiệp trong quá trình hoạt động phải luôn luôn thực hiện đúng như quy định về điều hành, quản lý doanh nghiệp; góp vốn, đầu tư, chuyển...","244.000","Tiki","4","2","244.000","260.000","",""
"Sách","Sách Chính Trị - Pháp Lý","Luật - Văn Bản Luật","Luật - Văn Bản Luật  - Nhiều Tác Giả","Ngăn Chặn Bạo Lực Đối Với Phụ Nữ Và Trẻ Em Gái","https://img.sosanhgia.com/images/500x0/fbc0c1ec1d774de3a8f5fd205a059d3e/ngan-chan-bao-luc-doi-voi-phu-nu-va-tre-em-gai.jpeg","Nhiều Tác Giả","Giải đáp những thắc mắc về quy định pháp luật phòng, chống bạo lực đối với phụ nữ và trẻ em; các biện pháp ngăn chặn, bảo vệ và hỗ trợ phụ nữ là...","117.250","Lazada","4","4","117.250","140.000","",""
