"category__001","category__002","category__003","category__004","name","img_url","brand","short_desc","priority_price","priority_store","num_of_product","num_of_store","lowest_price","highest_price","category__005","category__006"
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  KHÁC","Robot hút bụi thông minh Neato Botvac D85","https://img.sosanhgia.com/images/500x0/d5d0e60c9d1348eda7a669ab532e6e46/robot-hut-bui-thong-minh-neato-botvac-d85.jpeg","KHÁC","-- Công nghệ làm sạch SpinFlow Power Clean \n - Hệ thống chổi hút đa năng\n - Pin Nickel metal hydride dung lượng cao (3600mAh)\n - Khay chứa rác thể tích 0.7L","14.200.000","Lazada","null","null","null","null","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  Ilife","Robot hút bụi lau nhà iLife X660","https://img.sosanhgia.com/images/500x0/450781b9d7e646c6ac1977064bb0284e/robot-hut-bui-lau-nha-ilife-x660.jpeg","Ilife","Công suất dưới 2000W\n Lực hút 900 - 1200 Pa\n Trang bị màn hình LCD, remote\n Thiết kế 2 chổi quét, 1 chổi hút cực mạnh\n Dung lượng pin 2600mAh\n Thời gian hoạt động 300 phút\n Thời gian nạp pin 120 phút\n Phạm vi hoạt động lớn, cải tiến với nhiều cảm biến thông minh chống va đập, rơi rớt cầu thang","5.949.500","Lazada","4","6","650.000","12.999.000","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  KHÁC","Robot hút bụi thông minh Neato Botvac Connected D3","https://img.sosanhgia.com/images/500x0/c2caa7ac60b14d46b82c061545e50fa1/robot-hut-bui-thong-minh-neato-botvac-connected-d3.jpeg","KHÁC"," Thiết kế hình chữ D độc đáo, hút sạch bụi bẩn góc tường\n - Công nghệ LaserSmart Mapping & Navigation\n - Công nghệ làm sạch SpinFlow Power Clean\n - Hệ thống chổi hút đa năng","9.700.000","Lazada","4","4","9.700.000","12.558.905","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  KHÁC","Robot hút bụi thông minh Neato Botvac Connected D5","https://img.sosanhgia.com/images/500x0/c9ecbce8ce4f45d991520d559ada04dd/robot-hut-bui-thong-minh-neato-botvac-connected-d5.jpeg","KHÁC","Thiết kế hình chữ D độc đáo, hút sạch bụi bẩn góc tường\n - Pin Lithium-ion dung lượng cao\n - Khay chứa rác thể tích 0.7L\n - Tích hợp kết nối không dây WiFi\n - Diện tích làm sạch lên đến 418m2","12.500.000","Lazada","9","7","12.255.000","18.990.000","",""
"Máy tính - Thiết bị VP","Laptop","Laptop Asus","","Laptop Asus 14 X409FA-EK199T","https://img.sosanhgia.com/images/500x0/c3290f21ec604be3bf3d48b5efbef350/laptop-asus-14-x409faek199t.jpeg","Asus","","11.999.000","Sendo","10","5","11.999.000","12.390.000","",""
"Máy tính - Thiết bị VP","Laptop","Laptop Asus","","Laptop ASUS 15 X509FJ-EJ155T","https://img.sosanhgia.com/images/500x0/2424eacefc2c4a9d83ccc6451a8bc58c/laptop-asus-15-x509fjej155t.jpeg","Asus","","14.600.000","Shopee","10","9","13.999.000","15.890.000","",""
"Kỹ thuật số","Tai nghe","Tai nghe Bluedio","","Tai nghe bluetooth Bluedio DF7","https://img.sosanhgia.com/images/500x0/ed655d7428934680a0712852d8f8a5ee/tai-nghe-bluetooth-bluedio-df7.jpg","Bluedio","Loa trở kháng: 16Ω\n\nĐộ nhạy: 110dB\n\nKhoảng cách hoạt động: 10m\n\nTần số đáp ứng: 20-20KHz","355.000","Shopee","null","null","null","null","",""
"Máy tính - Thiết bị VP","Phụ kiện máy tính","Phụ kiện máy tính  HyperDrive","","Cổng chuyển HyperDrive NET 6-in-2 Hub for USB-C MacBook PRO and MacBook Air 2018","https://img.sosanhgia.com/images/500x0/41e33295486c4f6dabd1b2d7137769c9/cong-chuyen-hyperdrive-net-6-in-2-hub-for-usb-c-macbook-pro-and-macbook-air-2018.jpeg","HyperDrive","Hyperdrive NET 6 in 1 hỗ trợ xuất từ cổng thunderbolt 3 của Macbook Pro ra 6 cổng:\n – 2 x USB-C (100W + 60W) PD/ Data/ Video\n – 1 x HDMI 4K\n – 1 x Gigabit Ethernet\n – 2 x USb Type A","2.140.000","Tiki","24","6","2.140.000","2.450.000","",""
"Kỹ thuật số","Tai nghe","Tai nghe Bluedio","","Tai nghe bluetooth BLUEDIO 57","https://img.sosanhgia.com/images/500x0/479b9ef281b24eb4a5b387916a05a69e/tai-nghe-bluetooth-bluedio-57.jpg","Bluedio","Bluetooth phiên bản: V4.1\n\nKhoảng cách hoạt động: lên tới 10m\n\nTrở kháng: 16Ω\n\nĐáp ứng tần số: 20Hz-20kHz\n\nĐộ nhạy: 110dB","339.000","Shopee","3","399","000","495.000","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Card mạng","Card mạng  Asus","Card mạng Wifi Asus PCE-AX58BT","https://img.sosanhgia.com/images/500x0/fed7ca2ff51d4a1ead623a734b04227d/card-mang-wifi-asus-pceax58bt.jpeg","Asus","Cổng giao tiếp: PCI\n Chuẩn wifi: a/b/g/n/ax\n Băng tần kép: 2.4GHz và 5GHz\n Tốc độ: 2402Mbps+574Mbps","1.890.000","Tiki","6","6","1.500.000","1.990.000","",""
"Thiết bị di động","Máy tính bảng","IPad","","Apple iPad Wifi 32GB 4G 2017 9.7inch","https://img.sosanhgia.com/images/500x0/3676b2a1e41841aa959e9b2dce69d943/apple-ipad-wifi-32gb-4g-2017-97inch.jpg","Apple","Màn hình: Retina 9.7inch\nCPU: Apple A9, Dual-core 1.84 GHz\nBộ nhớ: 32GB\nKết nối: Wifi, 3G, 4G\nCamera: 8 MP","9.989.000","Lazada","3","2","9.989.000","10.898.119","",""
"Máy tính - Thiết bị VP","Linh kiện máy tính","Mainboard","Mainboard Asus","Mainboard ASUS TUF Gaming X570-Plus","https://img.sosanhgia.com/images/500x0/69796960725c4219b2330ea2557e81fc/mainboard-asus-tuf-gaming-x570plus.jpeg","Asus","- Chuẩn mainboard: ATX \n - Socket: AM4 , Chipset: X570 \n - Hỗ trợ RAM: DDR4 , tối đa 128GB \n - Cổng cắm lưu trữ: 2 x M.2 SATA/NVMe; 8 x SATA 3 6Gb/s \n - Cổng xuất hình: 1 x DisplayPort; 1 x HDMI","4.330.000","Shopee","13","9","4.330.000","4.990.000","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi Electrolux","Máy Hút Bụi Electrolux ZB3103","https://img.sosanhgia.com/images/500x0/7797dc987b5942d29d2657db253cc102/may-hut-bui-electrolux-zb3103.jpg","Electrolux","Thiết kế không dây tiện lợi\n\nCông suất 30W\n\nLàm sạch tóc, lông thú\n\nSở hữu bộ lọc vi sinh Hepa\n\nĐèn Led chỉ dẫn thông minh","1.290.000","MediaMart","null","null","null","null","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi Electrolux","Máy hút bụi Electrolux ZAR3500","https://img.sosanhgia.com/images/500x0/129efbad751a4c289faf1e69f4221194/may-hut-bui-electrolux-zar3500.jpg","Electrolux","Công suất 1600W\n\nLọc tiêu chuẩn HEPA\n\nDung tích khoang chứa bụi 1,8L\n\nĐộ ồn 82 dB\n\nKích thước 27.4 x 36 x 24.2","1.990.000","Tiki","null","null","null","null","",""
"Máy tính - Thiết bị VP","Máy tính để bàn","Máy tính để bàn Dell","","Máy tính đồng bộ Dell XPS 8930-70196078","https://img.sosanhgia.com/images/500x0/43d067fb2b214c7db79c328dd737e066/may-tinh-dong-bo-dell-xps-893070196078.jpeg","Dell","","36.989.000","An Phát","2","2","36.989.000","41.790.000","",""
"Máy tính - Thiết bị VP","Màn hình máy tính","Màn hình Asus","","Màn Hình Gaming Asus VG275Q","https://img.sosanhgia.com/images/500x0/750006fba5f74ff8a5b41f1e4bb31057/man-hinh-gaming-asus-vg275q.jpeg","Asus","Kích thước màn hình Wide Screen 27.0-inch\n Độ phân giải FHD 1920x1080\n Tỉ lệ màn hình 16: 9\n Góc nhìn 178°(H)/178°(V)\n Mật độ điểm ảnh ( PPI ) 81 ppi","4.170.500","Shopee","2","2","4.170.500","4.390.000","",""
"Kỹ thuật số","Tai nghe","Tai nghe Bluedio","","Tai nghe nhét tai Bluedio T-Elf","https://img.sosanhgia.com/images/500x0/7e6cb6dbe93e477cbc3e815124e9c9f0/tai-nghe-nhet-tai-bluedio-telf.jpeg","Bluedio","","420.000","Shopee","2","2","420.000","800.000","",""
"Máy tính - Thiết bị VP","Phụ kiện máy tính","Phụ kiện máy tính  ELECOM","","Bàn di chuột Elecom MP-115","https://img.sosanhgia.com/images/500x0/63b2c2082073490eba06e7a5e10545a2/ban-di-chuot-elecom-mp-115.jpeg","ELECOM","Hãng sản xuất: Elecom\n\nChất liệu cao su mềm có tính đàn hồi\n\nBề mặt phủ da PU mềm mại\n\nDễ dàng lau chùi","672.000","Tiki","null","null","null","null","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  KHÁC","Am Mây Ngủ","https://img.sosanhgia.com/images/500x0/4e732112c0ab42c8bcfa440d74faed52/am-may-ngu.jpg","KHÁC","Câu chuyện về công chúa Huyền Trân gắn liền với người tăng sĩ áo\nvải sống trên am Ngoạ Vân núi Yên Tử\n\nNgười là Trúc Lâm Đại sĩ và cũng là vua Đại Việt - vua Trần Nhân\nTông\n\nTác giả đã lấy lòng của một Thiền sư để hiểu lòng một vị Thiền\nsư","64.900","Tiki","6","4","64.900","85.000","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Thiết bị mạng  UGREEN","","Túi Hạt mạng RJ45 CAT6 Ugreen 50248","https://img.sosanhgia.com/images/500x0/107303e6c4fc40f5b081c60789b427b9/tui-hat-mang-rj45-cat6-ugreen-50248.jpeg","UGREEN","Tính năng : Đầu bấm dây mạng Cat6 RJ45\n Chất liệu : vỏ bằng nhựa trong, dẻo. Đầu kết nối bằng đồng nguyên chất mạ vàng 24K\n Hộp 100 hạt\n Tương thích với RJ45 Cat6, Cat6e","450.000","Shopee","3","2","450.000","510.000","",""
"Máy tính - Thiết bị VP","Màn hình máy tính","Màn hình ViewSonic","","Màn hình Viewsonic VA2405-H","https://img.sosanhgia.com/images/500x0/52f19ef064ea4d1c8902f3b61411f4e6/man-hinh-viewsonic-va2405h.jpeg","ViewSonic","Kích thước màn hình: 23.6"" VA\n Độ phân giải: 1920 x 1080\n Thời gian đáp ứng: 4ms\n Giao tiếp: VGA: 1, HDMI 1.4: 1","2.585.000","Tiki","null","null","null","null","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Thiết bị mạng  UGREEN","","Hộp 50 chiếc hạt mạng RJ45 chân đống mạ vàng Ugreen 020331","https://img.sosanhgia.com/images/500x0/0d44347fba404bf98775df5be5ea426b/hop-50-chiec-hat-mang-rj45-chan-dong-ma-vang-ugreen-020331.jpeg","UGREEN","Hộp 50 cái tiện dụng\n Tương thích: RJ45 CAT5, CAT5E\n Chất liệu: Chân bấm đồng nguyên chất, mạ vàng 24K\n Vỏ nhựa trong cao cấp chống gãy, vỡ","149.000","Shopee","2","2","149.000","165.000","",""
"Máy tính - Thiết bị VP","Laptop","Macbook","","MacBook Pro MLH42","https://img.sosanhgia.com/images/500x0/b8278f1ab7f34eff804a92ee30dae4b3/macbook-pro-mlh42.jpg","Apple","CPU: Core i7 6820HQ\n\nRAM/ HDD: 16Gb/ 512Gb SSD\n\nMàn hình: 15.4Inch\n\nVGA: VGA rời, Radeon Pro 455\n\nHĐH: Mac OS X 10.12.1","58.220.018","US Express","null","null","null","null","",""
"Thiết bị di động","Điện thoại di động","IPhone","","iPhone 6S Plus 64Gb","https://img.sosanhgia.com/images/500x0/33b05ccffbca4482b3eec6b6593f1312/iphone-6s-plus-64gb.jpg","Apple","Kích thước màn hình: 5.5inch\n Độ phân giải màn hình: 1920 x 1080px\n Hệ điều hành: iOS\n Chip xử lý (CPU): A9 chip with 64-bit architecture Embedded M9 motion coprocessor\n Máy ảnh chính: 12 MP\n Bộ nhớ trong: 64 GB\n Dung lượng pin (mAh): 2915 mAh","6.800.000","Lazada","4","3","6.675.522","7.247.730","",""
"Máy tính - Thiết bị VP","Phụ kiện máy tính","Webcam","Webcam  HXSJ","Webcam HXSJ S30 720P","https://img.sosanhgia.com/images/500x0/e9ae73e1445c459ab81d05c7c6f6664b/webcam-hxsj-s30-720p.jpeg","HXSJ","Chip DSP: Không có trình điều khiển\n Cảm biến hình ảnh: CMOS\n Lens: Thấu kính năm lớp chất lượng cao\n Độ phân giải cao: 1 triệu pixel\n Độ phân giải động tối đa: 1280 * 720","321.000","Lazada","11","2","321.000","413.000","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Thiết bị mạng  UGREEN","","Đầu Bấm Mạng Ugreen RJ45 CAT5 50246","https://img.sosanhgia.com/images/500x0/026b22947deb493fb857cfac7ae6884c/dau-bam-mang-ugreen-rj45-cat5-50246.jpeg","UGREEN","Tương thích: RJ45 CAT5, CAT5E\n Chất liệu: Chân bấm đồng nguyên chất, mạ vàng 24K\n Vỏ nhựa trong cao cấp chống gãy, vỡ","216.000","Shopee","4","2","216.000","404.000","",""
"Điện tử","Tivi","Tivi Asanzo","","Tivi Asanzo 32T650 32inch LED","https://img.sosanhgia.com/images/500x0/64d431ac35524c4ea5d33f9510e58c9b/tivi-asanzo-32t650-32inch-led.jpg","Asanzo","Tivi LED 32inch\n Độ phân giải HD 1366 x 768\n Hình ảnh đẹp mắt và sắc nét\n Tích hợp đầu thu DVB-T2\n Kết nối giải trí qua USB và HDMI","3.599.000","Sendo","null","null","null","null","",""
"Điện tử","Tivi","Tivi Asanzo","","Tivi Asanzo 40ES900/40ES900N 40inch LED","https://img.sosanhgia.com/images/500x0/43f8e9a049e4407c9601b94ee2e73cbf/smart-tivi-asanzo-40es900-40inch-led.jpg","Asanzo","Màn hình 40inch Full HD\n Tích hợp truyền hình số mặt đất DVB - T2, DVB - C\n Remote thông minh, sử dụng sóng vô tuyến\n Hệ điều hành Android 4.4.4\n RAM 1GB","4.265.000","Lazada","null","null","null","null","",""
"Điện tử","Tivi","Tivi Asanzo","","Tivi Asanzo 25T350 25inch","https://img.sosanhgia.com/images/500x0/968f8fa002c8491ab4b5fe54f2724b2a/tivi-asanzo-25t350-25inch.jpeg","Asanzo","Kích thước màn hình 25inch\n Độ phân giải HD 1366 x 768 rõ nét\n Âm thanh sống động và lôi cuốn\n Tích hợp đầu thu kỹ thuật số DVB-T2 thế hệ mới nhất","1.850.000","Shopee","3","2","1.850.000","2.299.000","",""
"Máy tính - Thiết bị VP","Màn hình máy tính","Màn hình Asus","","Màn hình máy tính Asus VG245H 24 inchFull HD 1080p","https://img.sosanhgia.com/images/500x0/4f360bd5a2c14734b11d24d54971bc4a/man-hinh-may-tinh-asus-vg245h-24-inchfull-hd-1080p.jpeg","Asus","Công nghệ AMD FreeSync\n Phím nóng ASUS GamePlus độc quyền\n Bộ treo tường VESA giúp tiết kiệm không gian\n 2 cổng HDMI cho phép bạn kết nối máy game console và một thiết bị HDMI khác cùng lúc\n Giá đỡ được thiết kế công thái học với điều chỉnh nghiêng lên xuống, xoay trái phải, trục đứng và chiều cao toàn diện","3.990.000","Nguyễn Kim","5","4","3.990.000","6.556.312","",""
"Máy tính - Thiết bị VP","Phụ kiện máy tính","Bàn phím","Bàn phím ELECOM","Bàn phím số Elecom TK-TCM003","https://img.sosanhgia.com/images/500x0/9728a0afe064465ba6a391f8fd4366fa/ban-phim-so-elecom-tk-tcm003.jpeg","ELECOM","Hãng sản xuất : Elecom\n\nMàu sắc : Đen xám\n\nKết nối: Cổng USB","239.000","Phúc Anh","null","null","null","null","",""
"Máy tính - Thiết bị VP","Màn hình máy tính","Màn hình Asus","","Màn hình Asus VS207D 19.5inch LED","https://img.sosanhgia.com/images/500x0/1857d853780e46d38466b0dc73c756db/man-hinh-led-asus-vs207d-195inch.jpg","Asus","\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n","3.115.267","Fado","null","null","null","null","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Switch","Switch  Aptek","Bộ Chia Mạng Switch 5 Cổng APTEK SF500","https://img.sosanhgia.com/images/500x0/491f170676e845eba75865799c74ff40/bo-chia-mang-switch-5-cong-aptek-sf500.jpeg","Aptek","Gồm 5 cổng 10/100 Mbps\n Tương thích chuẩn IEEE 802.3 10Base-T Ethernet, IEEE 802.3u 100Base-TX\n Tự động nhận diện cáp thẳng, cáp chéo\n Truyền tải dữ liệu nhanh chóng","115.000","Lazada","null","null","null","null","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  KHÁC","Con Sóng Thứ Bảy","https://img.sosanhgia.com/images/500x0/87626997a79548b49cb27ab7049248bd/con-song-thu-bay.jpeg","KHÁC","Ngót một năm sau Leo Leike từ Boston quay về. Ở nhà đang có thư\nchờ Emmi Rothner đợi. Cả hai nhận ra không thể rũ bỏ cảm xúc dành\ncho nhau. Có lẽ họ nên một lần gặp nhau. Tuy nhiên, giờ đây Leo có\nbóng hồng mới và Emmi vẫn có gia đình. Nhưng một khi sáu con sóng\nđã ập vào bờ,...","45.430","Tiki","null","null","null","null","",""
"Kỹ thuật số","Tai nghe","Tai nghe ELECOM","","Tai nghe Elecom EHP-CH3000GN/BK","https://img.sosanhgia.com/images/500x0/cb55f8f535e248ab82802d29b349dcaa/tai-nghe-elecom-ehp-ch3000gn/bk.jpg","ELECOM","Dải tần số: 5Hz - 40kHz\n\nĐộ nhạy: 100dB / 1mW\n\nDriver Unit: 12.5mm\n\nTrở kháng: 16 Ω\n\nChiều dài cáp: 1.2m","1.450.000","Tiki","4","2","1.450.000","2.237.856","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Switch","Switch Netis","Switch Netis ST3116G","https://img.sosanhgia.com/images/500x0/0c9c6daffaac48b991ee43ccc2429f5c/switch-netis-st3116g.jpg","Netis","Thiết kế tinh tế, tiện dụng\n\nĐa tiện ích, nhiều tính năng kết nối\n\nNâng cấp hiệu suất làm việc","1.990.000","An Phát","null","null","null","null","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Switch","Switch Netis","Switch Netis ST3124G","https://img.sosanhgia.com/images/500x0/b695bbdfc40844a9997e37b50801e9f7/switch-netis-st3124g.jpg","Netis","Tiết kiệm điện năng tiêu thụ\n\nDễ dàng cài đặt và sử dụng\n\nHiệu suất hoạt động tối ưu","2.990.000","An Phát","null","null","null","null","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Switch","Switch  Mikrotik","MikroTik hEX S Gigabit Ethernet Router with SFP Port RB760iGS","https://img.sosanhgia.com/images/500x0/c193ae54c8e747d8a047e9ad5c60c46b/mikrotik-hex-s-gigabit-ethernet-router-with-sfp-port-rb760igs.jpeg","Mikrotik","CPU nominal frequency 880 MHz\n CPU core count 2\n CPU threads 4\n Size of RAM 256 MB\n 10/100/1000 Ethernet ports 5\n SFP cages 1\n PoE in Passive, 802.3af/at","1.850.000","Shopee","null","null","null","null","",""
"Máy tính - Thiết bị VP","Máy tính để bàn","IMac","","Apple iMac 2019 MRT42 21.5 inch 4K","https://img.sosanhgia.com/images/500x0/4ba603a4150c41db95dd42c7e6f93131/apple-imac-2019-mrt42-215-inch-4k.jpeg","Apple","CPU: 3.0GHz 6-core Intel Core i5 with 9MB share L3 cache (I5-8500B, Up to 4.1GHz)\n Ram: 8GB of 2666MHz DDR4 memory, Max 32GB\n HDD: 1TB Fusion Drive Storage (32GB SSD + 1TB HDD)\n Card đồ hoạ: AMD Radeon 560X w/4GB GDDR5 memory","49.587.500","Lazada","10","10","36.390.000","39.590.000","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Switch","Switch Netis","Switch Netis ST3116","https://img.sosanhgia.com/images/500x0/97fc56b8b96c43ae977a348562b1f50e/switch-netis-st3116.jpeg","Netis","Kích thước: 432 x 200 x 44 mm\n\nTốc độ truyền dữ liệu 10/100Mbps\n\nSwitch: 16-port","890.000","An Phát","null","null","null","null","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Switch","Switch  KBvision","Switch PoE KBVISION KX-SW24SFP2","https://img.sosanhgia.com/images/500x0/989e3ca0f3924951b7c6680e3d93a33e/switch-poe-kbvision-kxsw24sfp2.jpeg","KBvision","Hỗ trợ nguồn PoE tối đa 400W cho tất cả các cổng PoE.\n - Hỗ trợ 2 cổng Hi-PoE cho camera Speeddome (màu cam).\n - Hỗ trợ chuẩn PoE IEEE 802.3af.\n - Nguồn AC100-240V 50/60Hz.","5.500.000","Lazada","null","null","null","null","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  - Kevin Kwan","Giới Siêu Giàu Châu Á (Bộ 3 Cuốn)","https://img.sosanhgia.com/images/500x0/cfd80116bc9f400ea59acdd730c6778c/gii-siu-giu-chu-b-3-cun.jpeg","Kevin Kwan","Crazy Rich Asians kể về mối tình giữa Rachel Chu và Nick Young – hai giảng viên đại học gốc Á tại Mỹ. Theo lời mời của Nick, Rachel theo anh về ra mắt gặp gỡ gia đình anh tại Singapore. Từ đây, cô phát hiện ra thân thế của Nick là một trong những người giàu nhất Singapore. Và mọi chuyện trở nên...","462.000","Tiki","12","3","462.000","510.098","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  - Diệp Lạc Vô Tâm","Sợi Khói Mỏng Lạc Giữa Trần Ai - Tập 2","https://img.sosanhgia.com/images/500x0/68a81df3c1a34f398f2c716b3b242aff/si-khi-mng-lc-gia-trn-ai-tp-2.jpeg","Diệp Lạc Vô Tâm","Phụ mẫu đặt cho nàng cái tên Vũ Văn Lạc Trần, càng ngẫm càng thấy, cuộc đời nàng cũng chìm nổi vô định như hạt bụi giữa cõi trần ai. Cả tuổi ấu thơ, cả thời thiếu nữ, trong mắt, trong tim nàng chỉ có duy nhất hình bóng của người ấy. Y là trời, là đất, là cả quá khứ lẫn tương lai của nàng...","77.350","Tiki","10","5","77.350","119.000","",""
"Máy tính - Thiết bị VP","Laptop","Macbook","","MacBook Pro 13inch MWP42 2020","https://img.sosanhgia.com/images/500x0/ff82fe9043c64f11a912c4611e725306/macbook-pro-13inch-mwp42-2020.jpeg","Apple","","44.990.000","Phúc Anh","5","4","44.990.000","46.990.000","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  - Tào Đình","Khi Tình Yêu Chớm Nở (Bộ 2 Tập)","https://img.sosanhgia.com/images/500x0/8e3869b5d8824cc28963748a3e652cdb/khi-tnh-yu-chm-n-b-2-tp.jpeg","Tào Đình","Tác phẩm “Khi tình yêu chớm nở” của tác giả Tào Đình lấy nhân vật nữ chính là một cô gái trẻ trung, xinh đẹp và cá tính có tên là Chúc Dung Dung. Sớm “phải lòng” chàng trai hot nhất trường trung học khi đó là Hứa Ninh, cô đã có một mối tình học trò lãng mạn và đẹp như mơ...","159.250","Tiki","15","6","147.000","245.000","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  - Diệp Lạc Vô Tâm","Sợi Khói Mỏng Lạc Giữa Trần Ai - Tập 1","https://img.sosanhgia.com/images/500x0/22423408a03342bb90409008961ce5a2/soi-khoi-mong-lac-giua-tran-ai-(tap-1-2).jpeg","Diệp Lạc Vô Tâm","Yêu một người không phải là cho người đó cả thế giới, mà là cho người đó thứ mà họ thực sự mong muốn. Tiếc thay phải đến khi mất nàng rồi, y mới hiểu ra điều này. Y và nàng lớn lên bên nhau, như hình với bóng, trải qua biết bao gian nan nguy hiểm. Y luôn lo lắng, chăm sóc cho nàng, dành hết những thứ...","95.200","FAHASA","2","2","95.200","101.000","",""
"Thiết bị di động","Máy tính bảng","IPad","","IPAD PRO 12.9 4G 256GB (2018)","https://img.sosanhgia.com/images/500x0/4c83882c175349d0a2f9e62d71bf42a9/ipad-pro-129-4g-256gb-(2018).jpeg","Apple","- Màn hình 12.9 inch Liquid Retina độ phân giải 2732 x 2048\n - Bộ nhớ trong 256GB\n - Chip xử lí Bionic A12X - 64 bit\n - Hệ điều hành iOS 12\n - Camera trước 7MP, camera sau 12 MP\n - Thời gian dùng pin lên đến 10 giờ","25.990.000","Tiki","8","5","25.990.000","35.500.000","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  - Tào Đình","Hồng Hạnh Thổn Thức","https://img.sosanhgia.com/images/500x0/997136e19f3d4429824667531b7c4fea/hng-hnh-thn-thc.jpeg","Tào Đình","Nội dung gần gũi, cách xây dựng nhân vật khá gần với thực tế\n Lời văn giản dị, lôi cuốn, khiến người đọc càng thêm đồng cảm với nhân vật\n Cốt truyện hấp dẫn, nhiều tình tiết bất ngờ lôi cuốn người đọc","76.700","Tiki","13","5","70.800","94.000","",""
"Máy tính - Thiết bị VP","Máy tính để bàn","IMac","","iMac ME087 21.5 inch","https://img.sosanhgia.com/images/500x0/8925d72345e943598b945f167ce2b8aa/imac-me087-215-inch.jpeg","Apple","CPU: 2.9GHz quad-core Intel Core i5\n\n- Ram: 8 GB\n\n- GPU: NVIDIA GT750M\n\n- HDD: HDD, 1TB (5400-rpm)\n\n- Màn hình: 21.5"" 1920 x 1080","18.008.669","Fado","4","2","16.045.428","16.522.268","",""
"Khác","Cáp tín hiệu","Cáp tín hiệu  UGREEN","","Cáp Audio 1 ra 2 Ugreen 30620","https://img.sosanhgia.com/images/500x0/93e693e6ba2b4506b48f84604a9aca60/cap-audio-1-ra-2-ugreen-30620.jpeg","UGREEN","","84.900","Lazada","4","3","84.900","149.000","",""
"Máy tính - Thiết bị VP","Máy tính để bàn","IMac","","Máy tính mini Apple Mac mini MXNG2SA/A","https://img.sosanhgia.com/images/500x0/9fddd0d7027d4bb588e926e7badc871a/may-tinh-mini-apple-mac-mini-mxng2saa.jpeg","Apple","","29.990.000","FPT Shop","6","5","27.390.000","31.990.000","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  - Đồng Hoa","Một Nửa Ấm Áp (Bộ 2 Tập)","https://img.sosanhgia.com/images/500x0/b60923608e2a48eabe0ea3fc94882a04/mot-nua-am-ap-(bo-2-tap).jpeg","Đồng Hoa","Shelley từng nói: “Nhân lúc bầu trời vẫn còn xanh trong, nhân lúc hoa vẫn còn tươi thơm, nhân lúc bóng đêm chưa bao phủ, mọi thứ trước mắt vẫn còn đẹp đẽ, hiện tại vẫn còn bình yên thì hãy mơ giấc mơ của ngươi đi. Và hãy nghỉ ngơi đi, bởi khi thức giấc sẽ phải khóc tiếp.”...","177.000","Shopee","7","3","177.000","179.903","",""
"Sách","Sách Văn Học","Tiểu thuyết tình cảm lãng mạn","Tiểu thuyết tình cảm lãng mạn  - Đồng Hoa","Kia Khoảng Trời Sao, Đây Khoảng Biển","https://img.sosanhgia.com/images/500x0/c6477e031bb34b7cb176c4fb929c8735/kia-khoang-troi-sao-day-khoang-bien.jpeg","Đồng Hoa","Sau cái chết của ông nội, Thẩm Loa muốn rời xa cuộc sống ồn ào náo nhiệt ở thành phố để đến với sự yên tĩnh, bình lặng của hải đảo. Không ngờ vô tình lại cứu được một anh chàng người cá tên Ngô Cư Lam. Anh đã nhiều lần dùng năng lực cũng như sự thông minh của mình trợ giúp Thẩm Loa vượt qua khó khăn. Và điều này đã khiến cho cô dần cảm mến anh...","109.850","Tiki","18","8","92.950","169.000","",""
